danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
0.814000,0.838000,11,-5.547000,0.076300,0.001000,0.022300,0.018500,0.959000,121.978000,1
0.784000,0.779000,8,-5.480000,0.038700,0.035700,0.025000,0.024500,0.459000,124.994000,1
0.367000,0.783000,6,-4.504000,0.154000,0.005150,0.000000,0.054500,0.289000,88.013000,1
0.609000,0.830000,6,-3.759000,0.079300,0.201000,0.000062,0.032100,0.604000,117.833000,1
0.591000,0.702000,7,-5.590000,0.028900,0.225000,0.000000,0.414000,0.501000,104.003000,1
0.590000,0.642000,7,-3.870000,0.122000,0.077100,0.000000,0.105000,0.651000,107.356000,1
0.791000,0.565000,5,-3.933000,0.043900,0.062300,0.000000,0.156000,0.181000,99.961000,1
0.564000,0.747000,5,-3.374000,0.058400,0.072800,0.000000,0.151000,0.717000,97.878000,1
0.669000,0.801000,8,-5.445000,0.136000,0.268000,0.000000,0.059400,0.541000,109.919000,1
0.770000,0.882000,8,-4.792000,0.060200,0.194000,0.000000,0.316000,0.385000,99.991000,1
0.513000,0.788000,0,-4.629000,0.036400,0.009680,0.000000,0.110000,0.234000,139.987000,1
0.720000,0.864000,0,-3.249000,0.208000,0.085600,0.000000,0.160000,0.659000,96.048000,1
0.789000,0.858000,5,-4.388000,0.040400,0.220000,0.000046,0.335000,0.491000,110.012000,1
0.294000,0.505000,3,-8.106000,0.042000,0.120000,0.000000,0.097700,0.357000,85.332000,1
0.665000,0.799000,6,-2.868000,0.061700,0.180000,0.000000,0.125000,0.500000,101.976000,1
0.460000,0.800000,1,-3.584000,0.050000,0.289000,0.000006,0.121000,0.553000,102.460000,1
0.362000,0.921000,1,-3.815000,0.486000,0.123000,0.000000,0.190000,0.529000,172.191000,1
0.686000,0.830000,8,-4.437000,0.036900,0.094800,0.000001,0.182000,0.486000,123.032000,1
0.618000,0.660000,11,-8.140000,0.037200,0.029200,0.000002,0.325000,0.408000,105.000000,1
0.665000,0.699000,11,-5.265000,0.057800,0.423000,0.000000,0.096900,0.585000,124.896000,1
0.661000,0.725000,6,-4.859000,0.056300,0.025300,0.000000,0.123000,0.605000,119.927000,1
0.571000,0.752000,3,-4.872000,0.029300,0.019600,0.000069,0.114000,0.250000,102.043000,1
0.591000,0.705000,9,-6.519000,0.079000,0.381000,0.000116,0.131000,0.270000,121.799000,1
0.652000,0.898000,7,-4.481000,0.036100,0.290000,0.000000,0.073000,0.472000,114.043000,1
0.706000,0.855000,10,-5.377000,0.215000,0.091100,0.000000,0.347000,0.293000,107.184000,1
0.404000,0.806000,2,-4.750000,0.049600,0.198000,0.000000,0.114000,0.112000,148.036000,1
0.876000,0.856000,4,-3.884000,0.048600,0.081200,0.000001,0.457000,0.685000,121.991000,1
0.802000,0.645000,5,-6.181000,0.071500,0.272000,0.000000,0.119000,0.376000,100.001000,1
0.906000,0.832000,5,-3.004000,0.071800,0.090900,0.000000,0.152000,0.751000,104.030000,1
0.753000,0.657000,7,-3.061000,0.044900,0.171000,0.000000,0.112000,0.437000,107.010000,1
0.693000,0.674000,5,-4.449000,0.072300,0.185000,0.000000,0.063900,0.378000,95.972000,1
0.672000,0.815000,1,-6.476000,0.098100,0.002460,0.000000,0.577000,0.341000,115.033000,1
0.581000,0.760000,0,-3.962000,0.040600,0.160000,0.000000,0.183000,0.523000,104.099000,1
0.643000,0.594000,2,-5.453000,0.031800,0.012800,0.000000,0.118000,0.442000,144.033000,1
0.674000,0.881000,9,-2.853000,0.147000,0.296000,0.000003,0.079300,0.234000,98.994000,1
0.691000,0.538000,0,-9.952000,0.103000,0.246000,0.163000,0.178000,0.329000,99.972000,1
0.661000,0.758000,7,-5.299000,0.086400,0.079700,0.000000,0.106000,0.387000,114.098000,1
0.653000,0.690000,1,-5.003000,0.075600,0.109000,0.000000,0.136000,0.652000,110.214000,1
0.734000,0.693000,0,-6.474000,0.036100,0.087800,0.000000,0.341000,0.550000,110.021000,1
0.663000,0.696000,11,-5.994000,0.034900,0.056300,0.000006,0.226000,0.449000,139.980000,1
0.550000,0.899000,5,-3.284000,0.045800,0.011300,0.000097,0.137000,0.408000,125.850000,1
0.703000,0.868000,7,-4.661000,0.029100,0.150000,0.132000,0.104000,0.733000,121.030000,1
0.440000,0.635000,11,-6.385000,0.032600,0.129000,0.000000,0.121000,0.327000,128.133000,1
0.625000,0.707000,2,-4.761000,0.033700,0.220000,0.000000,0.213000,0.479000,138.064000,1
0.625000,0.719000,4,-5.541000,0.061200,0.048000,0.000000,0.066800,0.326000,101.091000,1
0.547000,0.795000,8,-3.721000,0.048900,0.145000,0.000000,0.110000,0.723000,118.118000,1
0.673000,0.596000,10,-7.891000,0.035400,0.166000,0.000000,0.110000,0.190000,123.969000,1
0.699000,0.633000,6,-6.547000,0.036200,0.045300,0.000000,0.101000,0.458000,123.449000,1
0.647000,0.726000,3,-4.389000,0.055200,0.157000,0.000000,0.084400,0.767000,114.996000,1
0.588000,0.670000,0,-6.439000,0.047300,0.010400,0.000003,0.338000,0.505000,118.159000,1
0.655000,0.427000,2,-11.684000,0.079900,0.295000,0.001080,0.078800,0.224000,107.992000,1
0.790000,0.865000,6,-4.159000,0.043800,0.026400,0.089200,0.240000,0.362000,122.990000,1
0.611000,0.737000,0,-5.154000,0.047600,0.014500,0.000000,0.107000,0.574000,124.169000,1
0.726000,0.763000,4,-6.872000,0.088200,0.524000,0.000003,0.094300,0.516000,128.020000,1
0.714000,0.705000,10,-6.479000,0.099500,0.292000,0.000386,0.126000,0.471000,114.994000,1
0.619000,0.938000,5,-5.245000,0.350000,0.025700,0.000014,0.128000,0.601000,94.380000,1
0.575000,0.808000,1,-4.578000,0.043900,0.044600,0.000000,0.069300,0.232000,127.922000,1
0.768000,0.808000,5,-1.818000,0.112000,0.006270,0.000005,0.343000,0.664000,119.971000,1
0.767000,0.605000,6,-5.737000,0.188000,0.559000,0.000363,0.193000,0.657000,107.042000,1
0.466000,0.612000,8,-4.855000,0.030700,0.065500,0.000004,0.132000,0.236000,128.114000,1
0.434000,0.917000,9,-3.613000,0.063300,0.301000,0.000018,0.289000,0.622000,121.967000,1
0.744000,0.790000,8,-4.617000,0.056200,0.054700,0.000802,0.320000,0.847000,125.002000,1
0.837000,0.818000,8,-4.474000,0.053300,0.052700,0.006420,0.110000,0.484000,109.993000,1
0.514000,0.856000,2,-4.285000,0.071700,0.001230,0.000006,0.544000,0.351000,117.014000,1
0.690000,0.622000,5,-5.025000,0.062200,0.253000,0.000000,0.116000,0.544000,102.040000,1
0.466000,0.869000,3,-4.275000,0.052900,0.014200,0.002410,0.115000,0.185000,126.113000,1
0.842000,0.801000,8,-4.167000,0.228000,0.157000,0.000005,0.064200,0.617000,95.881000,1
0.748000,0.524000,8,-5.599000,0.033800,0.414000,0.000000,0.111000,0.661000,95.010000,1
0.647000,0.624000,9,-8.446000,0.045100,0.025000,0.056000,0.061600,0.477000,115.002000,1
0.509000,0.781000,8,-3.480000,0.072000,0.039800,0.000000,0.074900,0.176000,128.000000,1
0.737000,0.636000,11,-4.546000,0.043700,0.044100,0.000067,0.350000,0.565000,105.005000,1
0.584000,0.540000,1,-7.786000,0.057600,0.089500,0.000000,0.261000,0.195000,137.972000,1
0.743000,0.733000,8,-5.337000,0.037500,0.004020,0.000000,0.304000,0.622000,104.977000,1
0.721000,0.716000,10,-7.037000,0.065700,0.033400,0.000840,0.237000,0.667000,104.994000,1
0.781000,0.768000,11,-5.991000,0.039400,0.011900,0.000005,0.325000,0.486000,123.070000,1
0.737000,0.828000,11,-4.711000,0.039600,0.014900,0.000583,0.086200,0.517000,124.052000,1
0.570000,0.763000,1,-4.137000,0.057300,0.085700,0.000002,0.093200,0.430000,150.088000,1
0.551000,0.651000,8,-5.828000,0.059400,0.225000,0.000000,0.224000,0.562000,144.875000,1
0.617000,0.635000,11,-6.769000,0.031700,0.049800,0.000014,0.164000,0.446000,103.019000,1
0.791000,0.862000,9,-3.240000,0.110000,0.037000,0.000022,0.081400,0.592000,123.994000,1
0.503000,0.748000,5,-4.124000,0.061900,0.030500,0.000000,0.343000,0.356000,125.896000,1
0.640000,0.533000,0,-6.596000,0.070600,0.119000,0.000000,0.086400,0.515000,99.968000,1
0.658000,0.677000,5,-6.628000,0.039300,0.248000,0.000000,0.368000,0.248000,124.910000,1
0.649000,0.716000,8,-5.371000,0.034900,0.086300,0.000026,0.135000,0.163000,99.988000,1
0.713000,0.802000,4,-7.055000,0.056100,0.043500,0.003770,0.309000,0.343000,100.001000,1
0.596000,0.738000,8,-3.109000,0.041100,0.109000,0.000000,0.094700,0.461000,127.961000,1
0.503000,0.727000,1,-5.456000,0.167000,0.015900,0.000095,0.089500,0.521000,121.985000,1
0.609000,0.726000,5,-4.346000,0.041400,0.072300,0.000008,0.089500,0.362000,93.958000,1
0.654000,0.760000,0,-3.669000,0.045000,0.079700,0.000000,0.299000,0.410000,99.945000,1
0.630000,0.928000,9,-2.787000,0.033100,0.199000,0.124000,0.148000,0.465000,123.963000,1
0.532000,0.783000,2,-5.697000,0.052300,0.003800,0.001200,0.161000,0.643000,124.080000,1
0.694000,0.770000,6,-5.335000,0.149000,0.176000,0.000011,0.118000,0.163000,125.905000,1
0.604000,0.787000,0,-3.674000,0.103000,0.067900,0.150000,0.127000,0.301000,126.062000,1
0.432000,0.740000,7,-5.053000,0.062000,0.034200,0.000007,0.140000,0.193000,139.420000,1
0.638000,0.832000,8,-5.039000,0.049000,0.141000,0.000000,0.113000,0.648000,124.071000,1
0.759000,0.716000,11,-6.360000,0.081800,0.022300,0.000000,0.231000,0.469000,105.009000,1
0.614000,0.832000,11,-3.419000,0.052200,0.110000,0.000000,0.185000,0.429000,129.038000,1
0.669000,0.832000,0,-5.720000,0.068200,0.010600,0.000000,0.096800,0.700000,113.035000,1
0.702000,0.781000,0,-4.081000,0.030000,0.433000,0.000000,0.135000,0.382000,102.997000,1
0.851000,0.806000,4,-4.618000,0.078600,0.120000,0.000001,0.121000,0.776000,119.001000,1
0.738000,0.868000,11,-4.373000,0.073100,0.038900,0.001710,0.388000,0.336000,122.003000,1
0.570000,0.672000,8,-5.890000,0.072300,0.177000,0.000000,0.076800,0.448000,120.019000,1
0.670000,0.890000,5,-3.785000,0.057600,0.122000,0.000000,0.333000,0.568000,124.967000,1
0.708000,0.727000,9,-7.647000,0.038900,0.020100,0.676000,0.370000,0.512000,120.012000,1
0.654000,0.787000,4,-4.999000,0.050200,0.005150,0.000000,0.144000,0.409000,123.978000,1
0.945000,0.584000,6,-7.649000,0.044000,0.095500,0.341000,0.147000,0.626000,124.996000,1
0.704000,0.929000,0,-4.447000,0.039500,0.039500,0.024900,0.181000,0.633000,126.055000,1
0.765000,0.906000,8,-2.097000,0.096500,0.125000,0.000000,0.423000,0.950000,96.071000,1
0.682000,0.855000,7,-3.282000,0.040100,0.056600,0.000001,0.101000,0.304000,124.004000,1
0.627000,0.662000,7,-7.104000,0.034900,0.092200,0.000166,0.143000,0.596000,124.039000,1
0.762000,0.736000,7,-7.660000,0.077800,0.135000,0.053800,0.113000,0.248000,126.007000,1
0.577000,0.844000,7,-3.364000,0.040600,0.004070,0.000006,0.499000,0.283000,115.066000,1
0.632000,0.816000,8,-4.584000,0.034900,0.002050,0.106000,0.119000,0.134000,127.950000,1
0.598000,0.526000,10,-8.659000,0.041500,0.129000,0.000000,0.140000,0.529000,123.935000,1
0.825000,0.841000,0,-6.433000,0.135000,0.090600,0.004110,0.258000,0.616000,126.026000,1
0.630000,0.731000,6,-4.985000,0.035200,0.019100,0.000008,0.704000,0.460000,119.997000,1
0.795000,0.899000,0,-4.202000,0.068500,0.002350,0.000392,0.199000,0.329000,125.978000,1
0.529000,0.717000,6,-7.049000,0.240000,0.123000,0.000707,0.036300,0.481000,103.990000,1
0.700000,0.872000,10,-5.896000,0.066600,0.121000,0.000007,0.103000,0.761000,125.030000,1
0.791000,0.541000,1,-7.140000,0.054000,0.123000,0.000047,0.121000,0.433000,115.987000,1
0.904000,0.633000,0,-5.545000,0.095800,0.203000,0.000266,0.163000,0.492000,121.995000,1
0.744000,0.725000,11,-6.055000,0.030300,0.018000,0.000009,0.212000,0.904000,118.034000,1
0.772000,0.687000,9,-6.348000,0.211000,0.052800,0.000000,0.834000,0.590000,118.116000,1
0.706000,0.524000,6,-8.804000,0.026000,0.127000,0.001290,0.109000,0.296000,111.991000,1
0.664000,0.699000,11,-7.115000,0.270000,0.035200,0.000000,0.061200,0.252000,122.019000,1
0.781000,0.745000,1,-4.942000,0.037400,0.081400,0.000097,0.106000,0.498000,110.051000,1
0.789000,0.547000,9,-8.738000,0.074800,0.072000,0.000092,0.078200,0.480000,120.024000,1
0.575000,0.808000,1,-4.578000,0.043900,0.044600,0.000000,0.069300,0.232000,127.922000,1
0.669000,0.797000,9,-5.680000,0.062400,0.259000,0.000000,0.199000,0.552000,119.865000,1
0.567000,0.946000,5,-2.245000,0.054100,0.097800,0.000001,0.083600,0.295000,104.983000,1
0.653000,0.757000,3,-3.642000,0.055500,0.099700,0.000000,0.242000,0.233000,128.015000,1
0.721000,0.779000,6,-4.239000,0.060600,0.142000,0.000000,0.143000,0.327000,110.026000,1
0.534000,0.765000,1,-3.151000,0.033800,0.091500,0.001070,0.225000,0.117000,127.978000,1
0.651000,0.693000,4,-4.722000,0.037500,0.458000,0.000000,0.335000,0.392000,118.970000,1
0.682000,0.923000,0,-3.273000,0.036400,0.003950,0.000030,0.242000,0.370000,130.052000,1
0.660000,0.827000,10,-5.081000,0.078900,0.429000,0.000000,0.092300,0.611000,115.349000,1
0.570000,0.965000,6,-4.881000,0.034800,0.001080,0.523000,0.201000,0.148000,123.008000,1
0.608000,0.918000,0,-1.137000,0.068400,0.199000,0.000000,0.309000,0.422000,126.022000,1
0.561000,0.562000,9,-11.431000,0.150000,0.062000,0.000000,0.118000,0.244000,151.631000,1
0.591000,0.880000,4,-5.153000,0.223000,0.080400,0.000000,0.326000,0.482000,127.013000,1
0.626000,0.800000,1,-3.988000,0.035000,0.026700,0.000138,0.062300,0.258000,127.966000,1
0.745000,0.800000,11,-5.606000,0.036100,0.020900,0.000479,0.113000,0.314000,122.008000,1
0.660000,0.857000,2,-5.219000,0.321000,0.167000,0.000014,0.119000,0.233000,130.069000,1
0.530000,0.729000,0,-6.019000,0.037600,0.006990,0.000000,0.103000,0.219000,139.929000,1
0.552000,0.887000,1,-3.812000,0.147000,0.045700,0.020700,0.090300,0.783000,125.229000,1
0.471000,0.911000,2,-4.372000,0.059400,0.031600,0.006480,0.571000,0.197000,126.112000,1
0.747000,0.776000,10,-5.898000,0.072200,0.023300,0.000014,0.761000,0.670000,125.070000,1
0.712000,0.664000,11,-8.026000,0.034500,0.041600,0.000104,0.066800,0.781000,122.014000,1
0.733000,0.859000,9,-5.030000,0.033000,0.479000,0.064500,0.105000,0.520000,124.948000,1
0.517000,0.793000,6,-5.851000,0.036700,0.021400,0.000460,0.089200,0.176000,90.060000,1
0.675000,0.674000,4,-6.329000,0.037200,0.003390,0.000086,0.279000,0.414000,125.037000,1
0.818000,0.823000,11,-3.563000,0.200000,0.066300,0.000012,0.133000,0.520000,128.136000,1
0.639000,0.591000,7,-3.905000,0.034400,0.128000,0.000007,0.159000,0.305000,128.002000,1
0.535000,0.906000,6,-4.699000,0.035300,0.020200,0.000715,0.088600,0.732000,126.012000,1
0.784000,0.721000,8,-5.457000,0.050600,0.014900,0.004240,0.285000,0.895000,121.966000,1
0.809000,0.758000,4,-5.658000,0.101000,0.409000,0.000544,0.166000,0.710000,125.022000,1
0.669000,0.793000,1,-6.160000,0.040300,0.031800,0.037200,0.555000,0.159000,121.995000,1
0.578000,0.786000,9,-4.665000,0.130000,0.232000,0.000106,0.122000,0.347000,105.945000,1
0.733000,0.839000,1,-2.840000,0.033500,0.014500,0.000187,0.162000,0.471000,126.009000,1
0.630000,0.726000,0,-3.753000,0.097800,0.071700,0.000000,0.108000,0.499000,122.055000,1
0.845000,0.766000,2,-5.727000,0.065800,0.212000,0.000000,0.111000,0.782000,114.054000,1
0.679000,0.866000,2,-3.754000,0.056600,0.033700,0.000000,0.068800,0.441000,121.927000,1
0.657000,0.882000,0,-3.565000,0.045600,0.247000,0.002020,0.112000,0.179000,127.994000,1
0.493000,0.773000,5,-3.791000,0.157000,0.429000,0.000007,0.080700,0.301000,123.149000,1
0.687000,0.706000,4,-5.357000,0.045900,0.091000,0.000000,0.124000,0.270000,115.268000,1
0.654000,0.874000,6,-3.885000,0.054300,0.169000,0.000002,0.134000,0.542000,119.850000,1
0.661000,0.758000,7,-5.299000,0.086400,0.079700,0.000000,0.106000,0.387000,114.098000,1
0.447000,0.684000,9,-4.721000,0.090000,0.175000,0.000000,0.478000,0.437000,125.655000,1
0.731000,0.802000,5,-4.763000,0.062300,0.022000,0.000000,0.059000,0.434000,121.991000,1
0.489000,0.766000,3,-5.840000,0.085100,0.051100,0.000013,0.126000,0.117000,121.445000,1
0.600000,0.888000,8,-4.612000,0.130000,0.001660,0.000000,0.400000,0.641000,126.056000,1
0.687000,0.707000,4,-6.190000,0.032800,0.053600,0.000093,0.160000,0.607000,127.033000,1
0.711000,0.724000,7,-4.809000,0.106000,0.083500,0.000000,0.038900,0.478000,104.048000,1
0.693000,0.575000,9,-6.998000,0.080100,0.374000,0.000000,0.252000,0.492000,117.999000,1
0.683000,0.785000,7,-4.879000,0.037000,0.064300,0.000013,0.177000,0.581000,122.997000,1
0.638000,0.818000,9,-4.517000,0.050000,0.131000,0.000018,0.107000,0.489000,126.015000,1
0.707000,0.806000,6,-4.777000,0.175000,0.009080,0.000000,0.366000,0.634000,119.972000,1
0.590000,0.888000,5,-2.851000,0.076500,0.021600,0.000000,0.487000,0.288000,126.094000,1
0.632000,0.574000,4,-8.584000,0.053000,0.094200,0.000000,0.215000,0.557000,125.989000,1
0.703000,0.879000,1,-4.514000,0.177000,0.069300,0.000000,0.315000,0.542000,124.972000,1
0.790000,0.746000,9,-5.960000,0.050200,0.241000,0.000000,0.316000,0.538000,124.971000,1
0.733000,0.718000,4,-7.149000,0.037600,0.010700,0.010200,0.330000,0.206000,122.993000,1
0.728000,0.848000,5,-6.248000,0.185000,0.042700,0.000004,0.118000,0.612000,124.993000,1
0.502000,0.780000,0,-4.547000,0.244000,0.333000,0.000000,0.720000,0.607000,122.688000,1
0.638000,0.708000,1,-5.001000,0.042100,0.240000,0.000000,0.311000,0.582000,103.160000,1
0.685000,0.712000,6,-4.302000,0.089400,0.334000,0.000001,0.047000,0.483000,114.989000,1
0.620000,0.906000,11,-3.638000,0.062700,0.102000,0.020600,0.183000,0.398000,123.047000,1
0.601000,0.775000,0,-4.612000,0.047300,0.269000,0.000000,0.088300,0.483000,119.964000,1
0.762000,0.665000,11,-6.920000,0.047100,0.169000,0.000000,0.103000,0.961000,115.946000,1
0.684000,0.950000,1,-2.588000,0.080900,0.020700,0.000001,0.105000,0.436000,125.974000,1
0.650000,0.819000,4,-3.811000,0.055100,0.117000,0.000000,0.077200,0.351000,128.090000,1
0.448000,0.836000,11,-6.495000,0.080900,0.229000,0.000000,0.427000,0.482000,122.899000,1
0.712000,0.646000,5,-4.230000,0.182000,0.116000,0.000000,0.123000,0.607000,104.998000,1
0.674000,0.854000,5,-5.253000,0.115000,0.054000,0.000000,0.379000,0.503000,111.969000,1
0.739000,0.622000,11,-5.382000,0.039400,0.532000,0.000000,0.050800,0.615000,119.992000,1
0.647000,0.795000,1,-3.548000,0.037200,0.063500,0.000000,0.188000,0.409000,127.992000,1
0.669000,0.895000,5,-3.787000,0.057500,0.128000,0.000000,0.297000,0.576000,124.964000,1
0.792000,0.724000,11,-5.108000,0.036200,0.219000,0.000000,0.091100,0.429000,109.984000,1
0.706000,0.931000,0,-3.053000,0.045600,0.354000,0.000004,0.146000,0.465000,123.012000,1
0.645000,0.795000,1,-5.439000,0.034300,0.033400,0.000010,0.089000,0.424000,127.959000,1
0.662000,0.823000,9,-4.700000,0.097100,0.073000,0.000000,0.083300,0.435000,118.958000,1
0.673000,0.885000,11,-3.574000,0.056900,0.143000,0.000000,0.184000,0.704000,121.082000,1
0.516000,0.857000,0,-3.432000,0.046300,0.036800,0.000000,0.264000,0.448000,127.949000,1
0.686000,0.613000,2,-5.614000,0.069000,0.038600,0.000000,0.251000,0.452000,104.988000,1
0.503000,0.754000,7,-3.634000,0.042400,0.264000,0.000058,0.297000,0.597000,116.524000,1
0.382000,0.698000,6,-3.409000,0.037400,0.002360,0.000052,0.108000,0.151000,127.816000,1
0.590000,0.642000,7,-3.870000,0.122000,0.077100,0.000000,0.105000,0.651000,107.356000,1
0.708000,0.825000,4,-3.117000,0.061500,0.031000,0.000000,0.191000,0.662000,109.991000,1
0.588000,0.757000,5,-2.415000,0.071600,0.327000,0.000000,0.323000,0.836000,122.813000,1
0.636000,0.630000,0,-6.396000,0.034600,0.079600,0.000000,0.130000,0.454000,104.845000,1
0.682000,0.786000,11,-4.870000,0.047700,0.214000,0.000000,0.120000,0.664000,91.042000,1
